mean,median,lower_0025,upper_0975,mean_wql
[0.08160989 0.19721018 0.20666654 ... 0.1522443  0.12745147 0.13193786],[0.07828694 0.19902587 0.17930268 ... 0.12034007 0.09743188 0.10959866],[0.18090144 0.29256985 0.37428141 ... 0.02952279 0.00459978 0.02457523],[0.04938774 0.04395278 0.0243966  ... 0.38559527 0.36490421 0.34669875],0.0847423675164875
[0.07399477 0.06946312 0.11872757 ... 0.14070154 0.12563239 0.07906425],[0.08643966 0.0887172  0.13329967 ... 0.1458828  0.14644703 0.07655925],[0.16710159 0.21922982 0.25949503 ... 0.01239966 0.02284857 0.05747409],[0.21645143 0.15877256 0.11601683 ... 0.34591355 0.27728734 0.24723506],0.08913127419675482
[0.08842312 0.02230335 0.09451677 ... 0.28826423 0.32078629 0.41408842],[0.11519573 0.03196518 0.00416445 ... 0.27774664 0.27643645 0.08133677],"[2.41322525e-01 4.17667022e-01 5.50408629e-01 ... 7.53127539e-03
 3.33660528e-04 3.29595803e-02]",[0.31097323 0.81711611 0.49626219 ... 1.02327592 1.14310271 1.54092617],0.09437995042350225
[0.01209246 0.13982399 0.1657041  ... 0.36665709 0.30067064 0.19270091],[0.05204719 0.07520718 0.10547024 ... 0.3196721  0.30860495 0.09289542],[0.43893168 0.57408443 0.67031777 ... 0.00796884 0.03255396 0.05986858],[0.69975209 0.85771991 0.60507846 ... 0.78685626 0.72369834 0.70255379],0.09800303594988352
[0.08213041 0.13335985 0.22115576 ... 0.33324289 0.26674045 0.1978166 ],[0.07981112 0.12880166 0.22159827 ... 0.42064735 0.26146575 0.09864523],[0.29221508 0.33223471 0.38500364 ... 0.05313854 0.08655583 0.07729353],[0.27392432 0.27752464 0.14283193 ... 0.90886245 0.55823672 0.69239688],0.10032186989642677
[0.10162745 0.18564743 0.08512635 ... 0.31097725 0.30928669 0.20090394],[0.11030221 0.20702448 0.1426354  ... 0.29574523 0.30210267 0.09936279],[0.14592923 0.03307863 0.24000137 ... 0.02231575 0.07417115 0.0823039 ],[0.38112789 0.55434951 0.74526301 ... 0.74728814 0.87101949 0.84889532],0.09970223608437734
[0.02384666 0.09553568 0.03061993 ... 0.33849833 0.28635316 0.19634983],[0.04375952 0.06889304 0.01496851 ... 0.32612034 0.27380176 0.09842254],[0.18070363 0.08549054 0.14825382 ... 0.03245172 0.10958955 0.08799935],[0.2259877  0.41710532 0.37561942 ... 0.79162101 0.71264836 0.69239688],0.0987007880342052
[0.06846693 0.21821624 0.1738285  ... 0.28753477 0.29674138 0.20435176],[0.01818626 0.1698841  0.07270861 ... 0.294439   0.27729579 0.09959537],[0.26651511 0.04851501 0.06523233 ... 0.03989881 0.04748786 0.05118551],[0.82357488 0.72768813 0.78591785 ... 0.7513275  0.71264836 0.84889532],0.0983939239927273
[0.35081805 0.49558507 0.68103005 ... 0.28987845 0.2647263  0.18861979],[0.11554085 0.58885271 0.76287322 ... 0.30008046 0.25318671 0.0999727 ],[0.16635521 0.18621197 0.22573906 ... 0.07362978 0.09612693 0.0654523 ],[1.26384148 1.48393646 1.61773539 ... 0.90886245 0.55823672 0.69239688],0.09754545238759257
[0.69059741 0.91426451 0.92737229 ... 0.27916301 0.29629568 0.20059229],[0.32037322 1.01242425 1.00712495 ... 0.28790807 0.28169014 0.10114785],"[1.11955707e-01 6.26561711e-03 1.48695476e-01 ... 6.88162781e-05
 8.65340867e-02 8.64706725e-02]",[1.9752663  1.91130185 2.08529079 ... 0.65296367 0.75463145 0.69630934],0.09601066235990896
[0.10829979 0.33403667 0.26081588 ... 0.28210871 0.28134119 0.17104316],[0.010096   0.34049303 0.31712222 ... 0.28519876 0.25644168 0.10450347],[0.68953992 0.15910743 0.21678332 ... 0.03546567 0.03855611 0.14040866],[1.07801926 1.16251887 1.12481647 ... 0.74728814 0.71264836 0.69239688],0.09496648845383436
[0.08288688 0.01599184 0.09663408 ... 0.24508615 0.30163606 0.20619199],[0.07071768 0.04235692 0.110967   ... 0.26666009 0.26793362 0.10485174],[0.39033135 0.32456322 0.41551289 ... 0.06641272 0.04350193 0.06259649],[0.36468866 0.39805016 0.32595949 ... 0.58571404 0.87101949 0.75765327],0.09483201619055556
[0.04192408 0.0287022  0.01303499 ... 0.25345281 0.26941757 0.20813462],[0.05833217 0.02636978 0.04049862 ... 0.26256563 0.25915514 0.10597085],[0.22477711 0.21946562 0.3371728  ... 0.037762   0.08399488 0.06320516],[0.48154948 0.4156316  0.44186466 ... 0.61265875 0.71264836 0.84889532],0.09496398851647256
[0.07460194 0.04000322 0.00047547 ... 0.28156625 0.31410036 0.1694235 ],[0.06624057 0.01876017 0.01270381 ... 0.28371931 0.29557667 0.10709871],[0.25203525 0.26518257 0.2296637  ... 0.02767603 0.0531212  0.0690604 ],[0.20385136 0.2346712  0.23352327 ... 0.74728814 0.76107384 0.5398111 ],0.094618594719729
[0.02035272 0.0825186  0.08294915 ... 0.27025941 0.24333943 0.17162607],[0.0399333  0.05897307 0.07271291 ... 0.28759556 0.22515713 0.10563916],[0.16217061 0.06119697 0.03370423 ... 0.05000915 0.08545936 0.06572326],[0.19964219 0.20784499 0.38194534 ... 0.74728814 0.82687812 0.59080358],0.09478061444336539
[0.07975817 0.38188867 0.31439081 ... 0.29857176 0.26915787 0.138867  ],[0.05475569 0.36139016 0.3402602  ... 0.30537739 0.25784462 0.10634514],[0.18855504 0.11627548 0.08443475 ... 0.01413695 0.10878089 0.14152392],[0.53053297 0.73276761 0.70098754 ... 0.60623878 0.71264836 0.5818391 ],0.09502848467363287
[0.06166138 0.21548129 0.1927601  ... 0.27528436 0.25890841 0.2036206 ],[0.03231964 0.22328883 0.18306251 ... 0.2781303  0.24895479 0.22135697],[0.30482792 0.03718758 0.09593248 ... 0.06071338 0.08328631 0.09329189],[0.64842438 0.58516988 0.92841544 ... 0.7513275  0.71264836 0.69239688],0.0948239477491196
[0.08772734 0.16740283 0.14450367 ... 0.29606768 0.27675678 0.19439   ],[0.06232934 0.15779378 0.13160829 ... 0.27759214 0.25920174 0.10810949],[0.17753246 0.03799182 0.04380341 ... 0.04619492 0.07622831 0.05520635],[0.55780944 0.46480665 0.4451698  ... 0.90954406 0.71294435 0.77399771],0.09485713141596973
[0.09280074 0.15045417 0.14855546 ... 0.29024318 0.30310745 0.17370531],[0.02761959 0.16753531 0.19614309 ... 0.2732825  0.28310471 0.11111338],[0.11233526 0.13794572 0.20222086 ... 0.06465865 0.07058965 0.10322651],[0.55510372 0.65728834 0.44911791 ... 0.90886245 0.87101949 0.69239688],0.09454298765647086
[0.36216378 0.38647373 0.44336031 ... 0.27465776 0.2637568  0.19636622],[0.26700959 0.47911821 0.54185417 ... 0.26256563 0.23753541 0.11040797],[0.1386426  0.22729461 0.319663   ... 0.05414972 0.10617822 0.06196042],[1.13724255 1.13930279 1.08116085 ... 0.74728814 0.71264836 0.69521025],0.09467481542070612
[0.18629466 0.40586921 0.3123165  ... 0.25998359 0.29340524 0.21123845],[0.03799323 0.41136122 0.34193066 ... 0.26256563 0.2660279  0.1095696 ],[0.21445011 0.14415578 0.28322536 ... 0.06986756 0.08568696 0.08074235],[1.15046819 0.96587363 1.1546672  ... 0.65118064 0.88300615 0.84889532],0.09418236878236842
[0.27208328 0.55299902 0.41487004 ... 0.30710254 0.28452177 0.18131348],[0.09210622 0.62958186 0.54685131 ... 0.30705914 0.25352059 0.11000839],[0.34312974 0.47463897 0.48966811 ... 0.02300632 0.06624095 0.11121707],[1.96714589 1.96161108 1.81125613 ... 0.90886245 0.87380431 0.69630934],0.09400339768674423
