mean,median,lower_0025,upper_0975,mean_wql
[0.151349   0.1768757  0.16520499 ... 0.06952766 0.08266856 0.10813439],[0.13945072 0.16884683 0.14650774 ... 0.12672666 0.11529453 0.13431544],[0.37566169 0.41269637 0.53648496 ... 0.40659916 0.30214934 0.29866365],[0.00855383 0.02425698 0.04229547 ... 0.41163535 0.60401177 0.62932872],0.1062898385314201
[0.00228139 0.13706628 0.03332067 ... 0.14390835 0.20170982 0.180109  ],[0.00895397 0.20377391 0.1653884  ... 0.17246655 0.15686037 0.21405681],[0.34793704 0.24559631 0.62529252 ... 0.49734518 0.31454832 0.20350071],[0.36957476 0.81944407 0.89934889 ... 0.57636421 1.01188616 0.62481724],0.11215948720900301
[0.0142851  0.10488766 0.19303407 ... 0.16164022 0.18356413 0.16379972],[0.03672515 0.06311545 0.12857598 ... 0.1818245  0.1989578  0.17682493],[0.12936234 0.34067172 0.56889996 ... 0.23979153 0.39050039 0.41066167],[0.35302706 0.36881209 0.37701501 ... 0.49871353 0.68231201 0.66111161],0.11223184387013571
[0.06942003 0.30985087 0.2106637  ... 0.1821395  0.14868227 0.20394051],[0.07512553 0.31792127 0.16152877 ... 0.21192089 0.17846146 0.18959142],[0.10089321 0.1376538  0.034025   ... 0.35561436 0.39581565 0.33029364],[0.4416228  0.63210819 0.68183443 ... 0.61988208 0.58542648 0.8655839 ],0.11242126328795411
[0.16918658 0.106538   0.13040747 ... 0.19555372 0.12440124 0.13065559],[0.16558756 0.10824943 0.13142497 ... 0.20022084 0.11384322 0.18590851],[0.02233005 0.01744731 0.01489951 ... 0.28095089 0.38767751 0.40016568],[0.26405346 0.18778479 0.24304586 ... 0.81072437 0.72793464 0.85341001],0.11158074492906705
[0.27236418 0.29079787 0.3878915  ... 0.17259046 0.12081655 0.16125026],[0.26874193 0.29093269 0.40137435 ... 0.17676505 0.14862986 0.19412117],[0.17330621 0.11690627 0.03837029 ... 0.29954435 0.49087505 0.30923757],[0.39781827 0.53119247 0.71291146 ... 0.588183   0.68023555 0.8628379 ],0.11111736514663237
[0.10821791 0.16932305 0.17922339 ... 0.16432388 0.19043488 0.2089427 ],[0.12383034 0.17853296 0.14475669 ... 0.18550485 0.17791082 0.21120272],[0.23903828 0.31913888 0.48370643 ... 0.33139032 0.22654543 0.22714797],[0.41883425 0.61128582 0.94167586 ... 0.68197049 0.83659123 0.7791758 ],0.10994485288879857
[0.02522924 0.00697493 0.1396869  ... 0.17849325 0.16874628 0.19321971],[0.01500231 0.04839283 0.01598017 ... 0.20098469 0.14558875 0.17722246],[0.27811025 0.28785362 0.59121206 ... 0.24541088 0.30824038 0.31488421],[0.30846914 0.49014128 0.32505516 ... 0.68922569 0.48879307 0.74887509],0.10953783325464536
[0.10523399 0.05573414 0.0004582  ... 0.19279512 0.1667689  0.16990771],[0.12673635 0.04145441 0.02680498 ... 0.21149425 0.17817579 0.20028979],[0.03584653 0.07294053 0.3000753  ... 0.18836869 0.29877414 0.42301481],[0.24201139 0.3121592  0.31634178 ... 0.56507851 0.53942106 0.82020388],0.10934537101693526
[0.04036354 0.04514134 0.06290677 ... 0.18020954 0.13672392 0.18216952],[0.04035991 0.05088456 0.05816006 ... 0.17715096 0.15089458 0.18825388],[0.03156395 0.03436424 0.02394745 ... 0.33782269 0.40033288 0.14582994],[0.09103603 0.12613685 0.16611247 ... 0.77970635 0.63260773 0.67779717],0.10934382245407753
[0.20299651 0.15556742 0.11976537 ... 0.15612851 0.1584778  0.20678097],[0.20125273 0.16360724 0.12100031 ... 0.19796083 0.17280606 0.19097086],[0.04653627 0.11910319 0.06721154 ... 0.39251152 0.31220945 0.21567998],[0.29011299 0.34712953 0.32400324 ... 0.64250791 0.71022325 1.01448713],0.10863393014069342
