,mean,median,lower_0025,upper_0975,mean_wql
0,[0.02370368 0.00222358 0.04859871 ... 0.08704224 0.0950543  0.03965537],[0.02793355 0.0259427  0.06905997 ... 0.1001295  0.10930188 0.07579623],[0.08049054 0.0731309  0.12052307 ... 0.13322954 0.13342273 0.11091665],[0.08519735 0.16199724 0.11680166 ... 0.04940907 0.05625371 0.18077204],0.060418708214138826
1,[0.08520222 0.19996563 0.22700062 ... 0.09165506 0.07609684 0.06224544],[0.08769007 0.20315866 0.20041879 ... 0.11446667 0.1173395  0.085821  ],[0.18090144 0.25739695 0.37473234 ... 0.15693352 0.15655609 0.12593243],[0.05082705 0.04754424 0.07659325 ... 0.0116462  0.26227025 0.16262046],0.06310199333018336
2,[0.1209622  0.10478177 0.12049382 ... 0.08133884 0.08965799 0.05566173],[0.13346169 0.09717252 0.16936746 ... 0.09736288 0.09933815 0.07017044],[0.25055973 0.25816161 0.30106513 ... 0.11844195 0.13029365 0.09490638],[0.12644324 0.19513781 0.30574185 ... 0.03600105 0.00245254 0.05428427],0.06314996320851435
3,[0.09289165 0.08522164 0.1197283  ... 0.06802477 0.06631808 0.01827551],[0.08643966 0.1046559  0.13874012 ... 0.07255555 0.08943168 0.05116048],[0.18177181 0.23338824 0.2593605  ... 0.14971881 0.12604637 0.11112109],[0.06500588 0.15877256 0.11464366 ... 0.09882646 0.15252831 0.24391854],0.06764284361783784
4,[0.10974006 0.07641273 0.16691725 ... 0.08223777 0.06956047 0.0262006 ],[0.12143388 0.07437777 0.12374197 ... 0.09597149 0.08884183 0.043919  ],[0.31497478 0.33899449 0.58660199 ... 0.15455157 0.13493395 0.1143575 ],[0.48445512 0.5091104  0.48361716 ... 0.07884723 0.09820232 0.18813307],0.06773271607820194
5,[0.08100654 0.039802   0.0190709  ... 0.0726446  0.05558046 0.04150238],[0.10125249 0.03991894 0.05231356 ... 0.08016125 0.09152568 0.06273265],[0.34793704 0.24541585 0.48139408 ... 0.15523906 0.13514129 0.13273975],[0.15810342 0.61422065 0.51430717 ... 0.10177726 0.20474996 0.13012003],0.06741893702268048
6,[0.01456144 0.07830199 0.05452792 ... 0.07621672 0.03675223 0.0340283 ],[0.0057618  0.07277524 0.03030399 ... 0.0695719  0.07972692 0.04737787],[0.17553809 0.19366525 0.24093167 ... 0.15648514 0.14667288 0.11794388],[0.22620836 0.19924813 0.2599999  ... 0.10061082 0.17665545 0.13012003],0.06737214425170385
7,[0.00168971 0.06242994 0.14552286 ... 0.07793107 0.07545116 0.03718906],[0.00807091 0.07947613 0.08796347 ... 0.08666089 0.09728834 0.0521918 ],[0.17307185 0.27497841 0.57980698 ... 0.1569435  0.14713616 0.13277548],[0.43342628 0.40570529 0.4838196  ... 0.06254827 0.09047208 0.18919549],0.06722044912711597
8,[0.00266383 0.12322084 0.27274718 ... 0.0716828  0.06903694 0.03387998],[0.02711404 0.11298935 0.23444301 ... 0.08076447 0.09877626 0.05889556],[0.27080254 0.34562565 0.56389569 ... 0.15649205 0.1534599  0.12486826],[0.50898444 0.23087863 0.15125014 ... 0.15710905 0.10417154 0.1313954 ],0.06672319229388407
9,[0.09674014 0.02308035 0.14983236 ... 0.07437277 0.05954515 0.0284513 ],[0.07132404 0.04776502 0.16688887 ... 0.08572799 0.07092137 0.05753245],[0.25682037 0.22293915 0.32023611 ... 0.15681352 0.13123159 0.11649918],[0.14883324 0.14571549 0.0795883  ... 0.10474817 0.09961169 0.18935905],0.06637101802753705
10,[0.00647278 0.32196068 0.52463685 ... 0.07020462 0.0641533  0.00607543],[0.02533615 0.01061748 0.07027167 ... 0.09295954 0.08453637 0.0590223 ],[0.3209051  0.27348313 0.29061839 ... 0.15661336 0.13991568 0.12224927],[0.55737157 2.1067229  1.0637379  ... 0.10061082 0.15457691 0.2995779 ],0.06654068881496472
11,[0.05885663 0.29406158 0.21605051 ... 0.07942225 0.0740727  0.03495607],[0.07844924 0.25450965 0.1693187  ... 0.08054435 0.09206104 0.06646496],[0.13293839 0.11910137 0.00658316 ... 0.15722624 0.14319045 0.11768276],[0.319457   0.63210819 0.55274455 ... 0.04460775 0.09820232 0.16916301],0.06614788855666066
12,[0.17483042 0.20923092 0.21072361 ... 0.05788958 0.0707697  0.04440579],[0.00298703 0.26334278 0.26813489 ... 0.07863555 0.0974034  0.07322022],[0.13453856 0.27396459 0.27216378 ... 0.15799539 0.16426947 0.11666342],[0.94545453 0.60571288 0.85116428 ... 0.15771568 0.09961169 0.18829371],0.06544462432848391
13,[0.0018141  0.08924322 0.04207282 ... 0.07515417 0.06810557 0.03437775],[0.04044246 0.06197743 0.00077469 ... 0.08237599 0.08436708 0.06121753],[0.2144059  0.07294754 0.15037601 ... 0.15803376 0.14672795 0.11522323],[0.18512448 0.32111718 0.4152704  ... 0.10061082 0.09820232 0.10969059],0.06517745948445558
14,[0.1113872  0.06290148 0.13537588 ... 0.08439624 0.06308646 0.03820561],[0.07249164 0.08639607 0.12478446 ... 0.09245817 0.09248505 0.0571131 ],[0.16813938 0.24201742 0.24798011 ... 0.15786543 0.13402163 0.13154424],[0.63429334 0.38648478 0.73237757 ... 0.04411268 0.09820232 0.13012003],0.06515144065187008
15,[0.02582833 0.06990529 0.06301034 ... 0.06847395 0.07071203 0.03683838],[0.01798886 0.04133519 0.03577231 ... 0.08635057 0.09432745 0.06851088],[0.07279742 0.0489433  0.06449167 ... 0.15711578 0.15503522 0.1274936 ],[0.22026532 0.34507105 0.34448742 ... 0.12635223 0.13746555 0.18862907],0.06494491415839394
16,[0.16265086 0.18283274 0.24461316 ... 0.0837814  0.05347124 0.03641719],[0.10887478 0.20021407 0.29050678 ... 0.09008442 0.07955653 0.04942246],[0.06529867 0.09612758 0.22780756 ... 0.15616509 0.13844115 0.1095336 ],[0.44632848 0.46968338 0.51149348 ... 0.04462141 0.09820232 0.13078837],0.0649641685226594
17,[0.24675484 0.38220594 0.47796771 ... 0.0836906  0.07496451 0.03257229],[0.14572584 0.40682721 0.54366217 ... 0.09617986 0.08445667 0.0559251 ],[0.05610239 0.09721332 0.02236694 ... 0.15732445 0.14829981 0.11606025],[0.67166876 0.83358424 0.99574394 ... 0.10061082 0.04185087 0.16544087],0.06471743031428094
18,[0.21047415 0.38946206 0.38821777 ... 0.03782016 0.07074404 0.03475465],[0.08617765 0.38465701 0.42556564 ... 0.08578146 0.09169258 0.070762  ],[0.21788182 0.11098448 0.15497246 ... 0.15703201 0.15178767 0.12367117],[1.07097291 0.89768848 1.08261298 ... 0.15921159 0.180543   0.18813307],0.06467653384698961
19,[0.39983185 0.63851835 0.55157603 ... 0.0828267  0.06110444 0.03305321],[0.15542259 0.68911268 0.67777717 ... 0.08743174 0.09496407 0.06210398],[0.00389145 0.21307713 0.25375263 ... 0.15623116 0.15556313 0.12090015],[1.45868103 1.76419321 1.75155943 ... 0.08425104 0.15457691 0.13012003],0.06436800113261285
20,[0.23314606 0.39110623 0.4233759  ... 0.07109267 0.07128321 0.02100268],[0.01333635 0.13173854 0.47167809 ... 0.08194178 0.09295207 0.04724077],[0.35064182 0.23332698 0.25070501 ... 0.15615474 0.14276734 0.12092172],[1.4474991  1.76012499 1.43798881 ... 0.10061082 0.12700857 0.18813307],0.06463103508232006
21,[0.09449026 0.0305042  0.02928039 ... 0.08478486 0.06448185 0.02133803],[0.07012451 0.01026202 0.04235758 ... 0.09820784 0.08916232 0.05376318],[0.35195372 0.19143036 0.20472749 ... 0.15780803 0.14914287 0.118977  ],[0.32649555 0.52394546 0.31563979 ... 0.0800484  0.1551138  0.30560939],0.0637196160374684
22,[0.04158887 0.11513657 0.17807693 ... 0.07776349 0.07012484 0.02541519],[0.04888566 0.15076942 0.13859525 ... 0.09610307 0.08589055 0.07132953],[0.19490293 0.25744296 0.39123475 ... 0.15757375 0.14351051 0.12284188],[0.11952279 0.1661432  0.14532121 ... 0.15710905 0.09820232 0.34986635],0.06363601793262873
23,[0.17122016 0.10968136 0.21488692 ... 0.06861029 0.00333427 0.03247007],[0.15997835 0.11038398 0.15806294 ... 0.08932653 0.08711615 0.05721665],[0.37663    0.44266869 0.50168743 ... 0.15744826 0.13714628 0.12925345],[0.09831508 0.34001146 0.20901257 ... 0.10202327 0.18545983 0.18813307],0.06352704924603776
24,[0.11859827 0.18245023 0.22320491 ... 0.06499429 0.06405103 0.03628932],[0.11338767 0.17550749 0.20063864 ... 0.08301484 0.08855307 0.05675779],[0.30609606 0.32369246 0.43067591 ... 0.1564132  0.14537468 0.12856305],[0.13517143 0.13003359 0.08561683 ... 0.1585215  0.11625879 0.18813307],0.06411727542588225
