mean,median,lower_0025,upper_0975,mean_wql
[0.01248004 0.00089654 0.04615475 ... 0.08343766 0.07225826 0.0301339 ],[0.02151338 0.02793267 0.0771076  ... 0.11332863 0.10786795 0.07640928],[0.07568356 0.07337386 0.11439556 ... 0.12556267 0.13268205 0.10161521],[0.12992709 0.16170641 0.17045436 ... 0.05189964 0.16982461 0.34990485],0.061065502909689866
[0.08202142 0.20178193 0.20877965 ... 0.02075661 0.06249477 0.07208645],[0.07382615 0.19466065 0.17818039 ... 0.11377215 0.11562422 0.09168622],[0.153406   0.26270719 0.3722989  ... 0.14145352 0.15495105 0.13121338],[0.10696004 0.04395278 0.02498154 ... 0.11741495 0.20019839 0.03532534],0.06457045648856372
[0.12614838 0.10233684 0.1192508  ... 0.0679242  0.07887916 0.04901641],[0.14706039 0.12797242 0.1453274  ... 0.0971182  0.09933815 0.06574491],[0.21921606 0.2287531  0.23745994 ... 0.12095461 0.12737848 0.10267431],[0.12644324 0.17164087 0.22389112 ... 0.17032293 0.09010491 0.06419648],0.06607931291182473
[0.06614493 0.07682472 0.10541932 ... 0.06460289 0.04101685 0.02044528],[0.08643966 0.09086085 0.11171468 ... 0.07255555 0.0745851  0.06552754],[0.13996632 0.16607791 0.21487521 ... 0.15234781 0.12757763 0.10638028],[0.06515202 0.15877256 0.02292482 ... 0.1540652  0.20807096 0.53727336],0.07143872824563997
[0.10390791 0.05471056 0.11536083 ... 0.04802596 0.04874792 0.01651804],[0.11983598 0.06062188 0.08441662 ... 0.0613545  0.06480248 0.03618785],[0.39281905 0.43903841 0.55930378 ... 0.16446748 0.14391374 0.09180025],[0.52182706 0.67615505 0.64783993 ... 0.16523633 0.10420028 0.21441827],0.07347417809873814
[0.10535495 0.01979433 0.0682487  ... 0.03894125 0.04526897 0.00747408],[0.08027068 0.14893009 0.07949824 ... 0.05115193 0.08126216 0.02571173],[0.23763655 0.47142946 0.50308261 ... 0.17265913 0.12005961 0.08669964],[0.31553766 0.59498507 0.49626219 ... 0.17692881 0.17189556 0.1802014 ],0.07804986747045425
[0.02549857 0.11312067 0.07537455 ... 0.06053835 0.04604986 0.01124884],[0.01330069 0.02465965 0.01565991 ... 0.0456169  0.04247663 0.01721292],[0.30121557 0.49563395 0.39023477 ... 0.1875723  0.12680009 0.08402302],[0.3914774  0.3552846  0.4239409  ... 0.17868974 0.10343392 0.21029238],0.08238581648688087
[0.03833188 0.06830589 0.14239698 ... 0.04146363 0.00201835 0.06188141],[0.05327352 0.03533175 0.07020654 ... 0.0816676  0.07539446 0.00620212],[0.30321213 0.61919562 0.62336208 ... 0.23010536 0.14619544 0.09118988],[0.69975209 0.67113445 0.60061068 ... 0.22262407 0.42209652 0.49625445],0.08386569876601763
[0.04631036 0.19557042 0.26644112 ... 0.0376347  0.06497374 0.08071148],[0.01745045 0.10257847 0.18708017 ... 0.01397795 0.01175903 0.01880409],[0.43817662 0.67774845 0.69839254 ... 0.26479625 0.12377682 0.09752394],[0.63894002 0.29318525 0.35550982 ... 0.42274873 0.54769202 0.7763717 ],0.08700752346355103
[0.06045065 0.1326796  0.20188859 ... 0.00112449 0.0454016  0.079846  ],[0.06228247 0.09800237 0.18762832 ... 0.01397795 0.01175903 0.02145104],[0.29221508 0.42307956 0.37325072 ... 0.26728007 0.12498464 0.11212785],[0.27392432 0.5527686  0.14283193 ... 0.5545462  0.53237144 0.69335544],0.08635056957267642
[0.06742609 0.00389972 0.05013156 ... 0.0129861  0.00535851 0.0479586 ],[0.09128317 0.04224196 0.01570263 ... 0.01397795 0.08274851 0.01576415],[0.23419703 0.33281805 0.40331702 ... 0.26754771 0.13097765 0.09592173],[0.29793753 0.56527945 0.49189849 ... 0.54541899 0.41430043 0.45585253],0.08595710632229316
[0.12573634 0.18932332 0.09642561 ... 0.07872713 0.09316729 0.09288638],[0.13505936 0.25700934 0.19411577 ... 0.01397795 0.01175903 0.02412903],[0.14592923 0.12254764 0.24699018 ... 0.26766602 0.11876898 0.09492176],[0.37293943 0.54709731 0.46968939 ... 0.91321531 0.62593019 0.87030474],0.08638909362866459
[0.05159382 0.10723989 0.08896492 ... 0.00676871 0.04284454 0.08311456],[0.06123282 0.06814363 0.11930332 ... 0.07848115 0.01175903 0.04116439],[0.46126905 0.26668163 0.30097982 ... 0.26089857 0.12470254 0.09412033],[0.59959071 0.33744605 0.59279534 ... 0.66705435 0.49928351 0.45512929],0.08599839083344997
[0.02051589 0.12266003 0.04667742 ... 0.03452919 0.1060938  0.0786623 ],[0.04747969 0.09317653 0.00045104 ... 0.01397795 0.01290061 0.04116439],[0.13450564 0.00674272 0.07426226 ... 0.26016669 0.11632044 0.09036095],[0.2259877  0.41710532 0.37360071 ... 0.55343253 0.89690657 0.51876153],0.08647886555696252
[0.15395965 0.18035185 0.16930487 ... 0.01941089 0.07172544 0.12635019],[0.09774482 0.13124187 0.10405368 ... 0.01397795 0.03988949 0.04116439],[0.08439868 0.11550213 0.15250523 ... 0.26471948 0.12542459 0.08634537],[0.75835766 0.74838586 0.79238702 ... 0.41680919 0.5510416  0.77076786],0.08606810786981577
[0.08714206 0.24643741 0.18054552 ... 0.05575434 0.16001296 0.1215693 ],[0.00040105 0.21743447 0.06851228 ... 0.01397795 0.01175903 0.04116439],[0.22473358 0.0139574  0.02455254 ... 0.26213907 0.11777111 0.08434125],[0.69591341 0.72801829 0.8416449  ... 0.73398922 0.54918138 1.0659178 ],0.08623331855493628
[0.51169225 0.5775425  0.49304008 ... 0.01172389 0.05504819 0.10242234],[0.3931524  0.52819153 0.50055065 ... 0.05111626 0.08579328 0.04116439],[0.09809467 0.17760289 0.16122824 ... 0.25678345 0.12572717 0.09278896],[1.57193144 1.26673925 1.38722798 ... 0.41680919 0.63714967 0.5934823 ],0.08604281645300763
[0.43682493 0.6695806  0.74758045 ... 0.02092521 0.02050967 0.0921111 ],[0.16859541 0.78357194 0.94130862 ... 0.01397795 0.08535648 0.04116439],[0.18295119 0.23779112 0.19365151 ... 0.25986764 0.1176092  0.08924212],[1.52080942 1.68648199 1.78463145 ... 0.66410063 0.548569   0.60619506],0.08633987901292116
[0.60603962 0.77876135 0.75022495 ... 0.01641111 0.01294499 0.06414299],[0.1934132  0.70895892 0.81187082 ... 0.01397795 0.07621338 0.01953782],"[1.68395061e-01 2.25010400e-02 1.22475747e-04 ... 2.61945159e-01
 1.24931120e-01 9.94791237e-02]",[1.48991642 2.0914207  1.55655779 ... 0.5339414  0.44146622 0.45824314],0.08584447399227711
